Time,Seconds
2023-06-17 00:00:00.000,-96.10000000020955
2023-06-17 12:00:00.000,-101.20000000018626
2023-06-18 12:00:00.000,-111.4000000001397
2023-06-19 12:00:00.000,-121.60000000009313
2023-06-20 12:00:00.000,-131.80000000004657
2023-06-21 12:00:00.000,-142.0
2023-06-22 12:00:00.000,-152.19999999995343
2023-06-23 12:00:00.000,-162.39999999990687
2023-06-24 12:00:00.000,-172.5999999998603
2023-06-25 12:00:00.000,-182.79999999984284
2023-06-26 12:00:00.000,-192.99999999979627
2023-06-27 12:00:00.000,-203.1999999997497
2023-06-28 12:00:00.000,-213.39999999970314
2023-06-29 12:00:00.000,-223.59999999965657
2023-06-30 12:00:00.000,-233.79999999961
2023-07-01 12:00:00.000,-243.99999999956344
2023-07-02 12:00:00.000,-254.19999999951688
2023-07-03 12:00:00.000,-264.3999999994703
2023-07-04 12:00:00.000,-274.59999999945285
2023-07-05 12:00:00.000,-284.7999999994063
2023-07-06 12:00:00.000,-294.9999999993597
2023-07-07 12:00:00.000,-305.19999999931315
2023-07-07 12:02:42.900,-305.2192312492989
2023-07-07 12:02:43.000,-8.622064113034867
2023-07-08 12:00:00.000,-16.96663489032653
2023-07-09 12:00:00.000,-25.326978074299404
2023-07-10 12:00:00.000,-33.68732125830138
2023-07-11 12:00:00.000,-42.047664442274254
2023-07-12 12:00:00.000,-50.40800762627623
2023-07-13 12:00:00.000,-58.7683508102491
2023-07-14 12:00:00.000,-67.12869399425108
2023-07-15 12:00:00.000,-75.48903717822395
2023-07-16 12:00:00.000,-83.84938036222593
2023-07-17 12:00:00.000,-92.2097235461988
2023-07-18 12:00:00.000,-100.57006673020078
2023-07-19 12:00:00.000,-108.93040991417365
2023-07-20 12:00:00.000,-117.29075309817563
2023-07-21 12:00:00.000,-125.6510962821485
2023-07-22 12:00:00.000,-134.01143946615048
2023-07-23 12:00:00.000,-142.37178265012335
2023-07-24 12:00:00.000,-150.73212583412533
2023-07-25 12:00:00.000,-159.0924690180982
2023-07-26 12:00:00.000,-167.45281220210018
2023-07-27 12:00:00.000,-175.81315538607305
2023-07-28 12:00:00.000,-184.17349857007503
2023-07-29 12:00:00.000,-192.5338417540479
2023-07-30 12:00:00.000,-200.89418493804988
2023-07-31 12:00:00.000,-209.25452812202275
2023-08-01 12:00:00.000,-217.61487130602472
2023-08-02 12:00:00.000,-225.9752144900267
2023-08-03 10:50:19.900,-233.93107769085327
2023-08-03 10:50:20.000,-2.524971374339657
2023-08-03 12:00:00.000,-2.9624277457478456
2023-08-04 12:00:00.000,-12.004588150361087
2023-08-05 12:00:00.000,-21.046748555003433
2023-08-06 12:00:00.000,-30.088908959616674
2023-08-07 12:00:00.000,-39.131069364229916
2023-08-08 12:00:00.000,-48.17322976887226
2023-08-09 12:00:00.000,-57.2153901734855
2023-08-10 12:00:00.000,-66.25755057809874
2023-08-11 12:00:00.000,-75.29971098274109
2023-08-12 12:00:00.000,-84.34187138735433
2023-08-13 12:00:00.000,-93.38403179196757
2023-08-14 12:00:00.000,-102.42619219660992
2023-08-15 12:00:00.000,-111.46835260122316
2023-08-16 12:00:00.000,-120.5105130058364
2023-08-17 12:00:00.000,-129.55267341047875
2023-08-18 12:00:00.000,-138.594833815092
2023-08-19 12:00:00.000,-147.63699421970523
2023-08-20 12:00:00.000,-156.67915462434758
2023-08-21 12:00:00.000,-165.72131502896082
2023-08-22 12:00:00.000,-174.76347543357406
2023-08-23 12:00:00.000,-183.8056358382164
2023-08-24 12:00:00.000,-192.84779624282965
2023-08-25 12:00:00.000,-201.8899566474429
2023-08-26 12:00:00.000,-210.93211705208523
2023-08-27 12:00:00.000,-219.97427745669847
2023-08-28 12:00:00.000,-229.01643786131172
2023-08-29 12:00:00.000,-238.05859826595406
2023-08-30 12:00:00.000,-247.1007586705673
2023-08-31 12:00:00.000,-256.14291907518054
2023-09-01 12:00:00.000,-265.1850794797938
2023-09-02 12:00:00.000,-274.22723988443613
2023-09-03 12:00:00.000,-283.2694002890494
2023-09-12 23:59:59.900,-369.169913667487
