Time,Seconds
2025-06-23 00:00:00.000,-4.090909091028152
2025-06-23 12:00:00.000,-8.579220779327443
2025-06-24 12:00:00.000,-17.55584415595513
2025-06-25 12:00:00.000,-26.532467532582814
2025-06-26 12:00:00.000,-35.5090909092105
2025-06-27 12:00:00.000,-44.485714285838185
2025-06-28 12:00:00.000,-53.46233766243677
2025-06-29 12:00:00.000,-62.43896103906445
2025-06-30 12:00:00.000,-71.41558441569214
2025-07-01 12:00:00.000,-80.39220779231982
2025-07-02 12:00:00.000,-89.3688311689184
2025-07-03 12:00:00.000,-98.34545454554609
2025-07-04 12:00:00.000,-107.32207792217378
2025-07-05 12:00:00.000,-116.29870129880146
2025-07-06 12:00:00.000,-125.27532467540004
2025-07-07 12:00:00.000,-134.25194805202773
2025-07-08 12:00:00.000,-143.2285714286554
2025-07-09 12:00:00.000,-152.2051948052831
2025-07-10 12:00:00.000,-161.18181818191078
2025-07-11 12:00:00.000,-170.15844155850937
2025-07-12 12:00:00.000,-179.13506493513705
2025-07-13 12:00:00.000,-188.11168831176474
2025-07-14 12:00:00.000,-197.08831168839242
2025-07-15 12:00:00.000,-206.064935064991
2025-07-16 12:00:00.000,-215.0415584416187
2025-07-17 12:00:00.000,-224.01818181824638
2025-07-18 11:12:59.900,-232.7018077922985
2025-07-18 11:13:00.000,-8.473578180011827
2025-07-18 12:00:00.000,-8.755407654040027
2025-07-19 12:00:00.000,-17.390183028415777
2025-07-20 12:00:00.000,-26.024958402791526
2025-07-21 12:00:00.000,-34.659733777167276
2025-07-22 12:00:00.000,-43.29450915151392
2025-07-23 12:00:00.000,-51.92928452588967
2025-07-24 12:00:00.000,-60.56405990026542
2025-07-25 12:00:00.000,-69.19883527464117
2025-07-26 12:00:00.000,-77.83361064901692
2025-07-27 12:00:00.000,-86.46838602339267
2025-07-28 12:00:00.000,-95.10316139776842
2025-07-29 12:00:00.000,-103.73793677211506
2025-07-30 12:00:00.000,-112.37271214649081
2025-07-31 12:00:00.000,-121.00748752086656
2025-08-01 12:00:00.000,-129.6422628952423
2025-08-02 12:00:00.000,-138.27703826961806
2025-08-03 12:00:00.000,-146.9118136439938
2025-08-04 12:00:00.000,-155.54658901836956
2025-08-05 12:00:00.000,-164.1813643927162
2025-08-06 12:00:00.000,-172.81613976709195
2025-08-07 12:00:00.000,-181.4509151414677
2025-08-08 12:00:00.000,-190.08569051584345
2025-08-09 12:00:00.000,-198.7204658902192
2025-08-10 12:00:00.000,-207.35524126459495
2025-08-11 12:00:00.000,-215.9900166389707
2025-08-12 12:00:00.000,-224.62479201334645
2025-08-12 12:06:59.900,-224.6667566219112
2025-08-12 12:07:00.000,-12.438688497291878
2025-08-13 12:00:00.000,-21.12101063822047
2025-08-14 12:00:00.000,-29.845744680787902
2025-08-15 12:00:00.000,-38.570478723355336
2025-08-16 12:00:00.000,-47.295212765893666
2025-08-17 12:00:00.000,-56.0199468084611
2025-08-18 12:00:00.000,-64.74468085099943
2025-08-19 12:00:00.000,-73.46941489356686
2025-08-20 12:00:00.000,-82.1941489361052
2025-08-21 12:00:00.000,-90.91888297867263
2025-08-22 12:00:00.000,-99.64361702121096
2025-08-23 12:00:00.000,-108.36835106377839
2025-08-24 12:00:00.000,-117.09308510634582
2025-08-25 12:00:00.000,-125.81781914888415
2025-08-26 12:00:00.000,-134.5425531914516
2025-08-27 12:00:00.000,-143.26728723398992
2025-08-28 12:00:00.000,-151.99202127655735
2025-08-29 12:00:00.000,-160.71675531909568
2025-08-30 12:00:00.000,-169.44148936166312
2025-08-31 12:00:00.000,-178.16622340420145
2025-09-01 12:00:00.000,-186.89095744676888
2025-09-02 12:00:00.000,-195.6156914893363
2025-09-03 12:00:00.000,-204.34042553187464
2025-09-18 23:59:59.900,-339.57379309338285
