timestamp	ICAO_address	lat	lon	altitude	heading	hor_velocity	ver_velocity	valid_flags	alt_type	callsign	emitter_type	tslc
1750683229	A98046	637089728	-1490518400	5791200	19816	13838	65504	01BF	0	CFS7663	2	1
1750683230	AE63B4	629321088	-1479628160	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683230	A98046	637077056	-1490527744	5791200	19816	13838	65504	01BF	0	CFS7663	2	1
1750683231	AE63B4	629285888	-1479678336	7010399	21289	23561	0	01BF	0	SHAMN11	5	0
1750683231	A98046	637061440	-1490539392	5791200	19816	13838	65504	01BF	0	CFS7663	2	1
1750683232	AE63B4	629285696	-1479678848	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683232	A98046	637061440	-1490539392	5791200	19816	13838	65504	01BF	0	CFS7663	2	1
1750683233	AE63B4	629251072	-1479727232	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683233	A98046	637040384	-1490555264	5791200	19816	13838	0	01BF	0	CFS7663	2	1
1750683234	AE63B4	629232640	-1479753856	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683234	A98046	637025472	-1490566656	5791200	19816	13838	0	01BF	0	CFS7663	2	1
1750683235	AE63B4	629215872	-1479778048	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683235	A98046	637013824	-1490575616	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683236	AE63B4	629214912	-1479779200	7010399	21289	23561	0	01BF	0	SHAMN11	5	0
1750683236	A98046	637007360	-1490579968	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683237	AE63B4	629197056	-1479804416	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683237	A98046	636995200	-1490588672	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683238	AE63B4	629179584	-1479829888	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683238	A98046	636983168	-1490597504	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683239	AE63B4	629161856	-1479854336	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683239	A98046	636970560	-1490607488	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683240	AE63B4	629144640	-1479878528	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683240	A98046	636964480	-1490611712	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683241	AE63B4	629109248	-1479929216	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683241	A98046	636944704	-1490626048	5791200	19823	13787	65	01BF	0	CFS7663	2	1
1750683242	AE63B4	629109248	-1479929216	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683242	A98046	636932352	-1490636032	5791200	19823	13787	65	01BF	0	CFS7663	2	1
1750683243	AE63B4	629072960	-1479979904	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683243	A98046	636922176	-1490642560	5791200	19823	13787	65	01BF	0	CFS7663	2	1
1750683244	AE63B4	629055168	-1480005760	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683244	A98046	636917440	-1490646912	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683245	AE63B4	629038528	-1480029568	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683245	A98046	636904896	-1490655616	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683246	AE63B4	629037312	-1480030208	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683246	A98046	636887232	-1490668928	5791200	19823	13787	0	01BF	0	CFS7663	2	1
1750683247	AE63B4	629020800	-1480054912	7010399	21289	23561	0	01BF	0	SHAMN11	5	1
1750683247	A98046	636877440	-1490676736	5791200	19823	13787	65504	01BF	0	CFS7663	2	1
1750683248	AE63B4	629003008	-1480079104	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683248	A98046	636864896	-1490685440	5791200	19802	13787	65504	01BF	0	CFS7663	2	1
1750683249	AE63B4	628984512	-1480105600	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683249	A98046	636859136	-1490689536	5791200	19802	13787	0	01BF	0	CFS7663	2	1
1750683250	AE63B4	628966400	-1480130944	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683250	A98046	636859136	-1490689536	5791200	19802	13787	0	01BF	0	CFS7663	2	1
1750683251	AE63B4	628948992	-1480156416	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683251	A98046	636829504	-1490711808	5791200	19823	13787	0	01BF	0	CFS7663	2	1
1750683252	AE63B4	628914176	-1480205184	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683252	A98046	636812736	-1490723840	5791200	19823	13787	0	01BF	0	CFS7663	2	1
1750683253	AE63B4	628913280	-1480206336	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683253	A98046	636812736	-1490723840	5791200	19823	13787	0	01BF	0	CFS7663	2	1
1750683254	AE63B4	628878912	-1480255104	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683254	A98046	636789504	-1490741376	5791200	19823	13787	0	01BF	0	CFS7663	2	1
1750683255	AE63B4	628861184	-1480279936	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683255	A98046	636789504	-1490741376	5791200	19843	13787	65504	01BF	0	CFS7663	2	1
1750683256	AE63B4	628861056	-1480280448	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683256	A98046	636771264	-1490754944	5791200	19843	13787	65504	01BF	0	CFS7663	2	1
1750683257	AE63B4	628843200	-1480304896	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683257	A98046	636759808	-1490763392	5791200	19843	13787	65504	01BF	0	CFS7663	2	1
1750683258	AE63B4	628824448	-1480331392	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683258	A98046	636746496	-1490773888	5791200	19843	13787	65504	01BF	0	CFS7663	2	1
1750683259	AE63B4	628808000	-1480355840	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683259	A98046	636735488	-1490781952	5791200	19843	13787	0	01BF	0	CFS7663	2	1
1750683260	AE63B4	628808000	-1480355840	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683260	A98046	636722432	-1490791936	5791200	19836	13838	65504	01BF	0	CFS7663	2	1
1750683261	AE63B4	628808000	-1480355840	7018019	21278	23510	0	01BF	0	SHAMN11	5	2
1750683261	A98046	636711296	-1490800384	5791200	19836	13838	65471	01BF	0	CFS7663	2	1
1750683262	AE63B4	628754432	-1480431104	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683262	A98046	636701440	-1490807296	5791200	19836	13838	65471	01BF	0	CFS7663	2	1
1750683263	AE63B4	628735936	-1480457472	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
