ShipName,MMSI,Draught,Length,Width,VesselType,CPATime,CPADist,meanSOG,SLtot,TO_SL_25,TO_SL_31_5,TO_SL_40,TO_SL_50,TO_SL_63,TO_SL_80,TO_SL_100,TO_SL_125,TO_SL_160,TO_SL_200,TO_SL_250,TO_SL_315,TO_SL_400,TO_SL_500,TO_SL_630,TO_SL_800,TO_SL_1000,TO_SL_1250,TO_SL_1600,TO_SL_2000,TO_SL_2500,TO_SL_3150,TO_SL_4000,TO_SL_5000,TO_SL_6300,TO_SL_8000,TO_SL_10000
ZAANDAM,246442000,8,238,33,Cruise,6/2/2024 7:43,1014.676973,15.15357143,123.7086764,119.5181493,113.7586448,112.1992903,117.8399001,110.8085935,107.2431818,101.9822449,102.3318479,102.4071063,101.4425826,102.2234417,103.5651721,104.348875,104.4230678,104.3059148,103.602364,102.5985491,101.1200534,99.41340074,97.3151062,95.57750525,94.21204821,93.61870374,91.91701663,91.69636036,91.98484472,92.89739262
BARANOF WIND,367365630,1,23,10,Tour,6/13/2024 9:36,333.566534,22.3,131.3825456,107.9018785,106.3656132,103.5946072,112.4106853,111.9239025,106.7642141,130.9003991,113.7154526,117.9140709,107.7807646,99.82965097,97.47497999,93.77848725,93.43316986,92.9758394,91.74332576,89.78096485,86.77827183,85.56465843,83.15358061,80.50053551,78.13750384,76.24216995,72.48383935,69.07751227,67.07290515,66.74206945
ALASKAN DREAM,367489250,1.5,30,12,Cruise,6/15/2024 11:39,882.5094504,12.51830065,123.6007028,115.3357118,113.5602849,111.3123761,109.5155223,109.0632869,107.8721743,108.523371,120.4054937,109.4330469,102.4075026,100.4277335,99.90152904,100.6476717,100.6130121,100.3072243,99.30440223,98.02036566,96.60562626,94.45098929,91.94695867,90.02158912,88.08785241,86.95939748,85.48869836,84.39357278,84.23467255,84.72437387
NAT GEO QUEST,366945000,3.8,73,15,Tour,6/14/2024 17:30,1653.800189,10.79671875,121.812261,95.38216471,97.6574346,101.8054755,97.14571646,105.5676851,111.9288229,118.4434413,110.5077462,99.50156593,101.5644512,100.0278315,101.2005645,102.381838,103.4641111,104.2857922,104.3852978,103.8802213,102.7498512,101.5773776,99.82292809,98.68289412,100.2477883,99.52428018,100.7724262,102.7659379,106.3787679,112.4629471
AMER CONSTELLATION,367764750,2.8,82,17,Cruise,6/19/2024 11:29,641.5827763,13.12980973,113.3634628,103.1008101,98.80893676,108.6923088,99.49648596,98.88967296,104.256365,102.633124,98.80967617,95.90712815,95.39538846,97.56212926,98.11776835,97.33284293,95.33796683,93.43738278,94.96740731,93.74321107,89.96530714,87.09841207,85.95347067,89.00342167,90.37202459,88.07207998,85.08470127,85.56072595,95.84888832,88.09094461
SEA WOLF,367085000,NaN,30,6,Private,6/18/2024 19:57,133.2269003,8.564501975,104.5061477,92.4634803,99.56806526,100.3479031,86.75997057,96.21603502,89.86552827,82.92609123,84.19121948,76.0200746,72.97410831,72.43223269,73.78274427,75.50014891,76.76655053,77.3452371,76.78958946,76.69861099,78.24927726,75.59732515,73.31811685,70.92871871,69.45032158,67.00503803,61.69843877,58.4832909,55.93813052,52.29121169
BARANOF WIND,367365630,1,23,10,Tour,6/21/2024 9:25,882.3062719,21.45078597,135.8944452,119.8617037,117.7352916,116.0973673,115.5385717,114.5517825,118.1438271,135.3401794,116.9627597,117.8926614,111.7180369,104.8887342,102.8883489,101.465698,100.7895006,100.408562,99.92208097,99.21280216,97.99488228,96.31884272,94.4339143,93.10762576,92.65013229,93.34453659,90.47825457,89.57592938,90.30221257,92.2256738
WILDERNESS LEGACY,367578110,3,64,12,Tour,6/21/2024 14:49,1430.41016,11.32613574,128.5830624,121.6125678,120.0828689,117.8803007,116.3983562,116.3278116,118.5600376,117.9219422,114.7289327,111.5403493,109.3069184,109.0825499,109.3806275,110.184582,110.5833218,110.9258808,111.1480637,110.800834,109.5484157,107.9928535,106.3098812,104.8873764,104.2318192,105.0614363,105.2224341,105.4656693,108.3207727,113.4836896
BARANOF WIND,367365630,1,23,10,Tour,6/23/2024 9:36,351.3126913,21.76559527,134.228604,101.2076738,102.8615985,99.36549677,110.3410516,116.2241102,112.1660735,133.8116676,118.5073449,118.8154065,111.2833425,103.6085945,100.9443387,99.94280173,99.96589588,99.76563334,98.55472873,97.26752541,94.61664959,93.45077783,91.27207208,89.26527746,87.68308865,85.73083173,81.75068176,77.58719352,72.40397892,64.72101369
BARANOF WIND,367365630,1,23,10,Tour,6/28/2024 9:52,511.7183855,14.39541885,137.1005691,105.0181996,108.4955653,102.9952685,115.3696661,118.4966044,111.891274,136.5794808,120.2318542,124.1175246,117.1069289,108.5647368,106.8681065,105.6446698,105.8340093,105.7104754,105.1380819,103.6672955,100.5650252,98.8394038,96.66858092,94.7458711,94.21584158,93.13902935,89.57608857,85.60617665,82.49418768,76.01556279
BLUE PEARL,338149652,2,22,6,Private,6/28/2024 19:09,443.4891633,8.525935829,116.211011,87.17799634,91.74508595,105.2838785,98.04199069,100.7111371,114.5890281,98.99516267,100.7318653,100.217904,96.81062382,94.84846496,92.07609045,93.11427964,94.45272011,92.88794536,92.18809771,90.92154735,89.11596968,87.59883147,86.40821305,90.25293733,96.2700621,102.0263706,95.61592558,82.06426577,72.5284742,70.75954827
NORWEGIAN SUN,311109000,8.3,259,32,Cruise,6/29/2024 7:53,1964.828466,17.64268293,139.6569781,128.9285357,115.9332684,114.214446,116.5123465,116.7845507,112.008641,110.7316249,110.8131957,112.6914734,116.539149,118.6857849,121.6510139,125.4090057,128.2228849,129.87057,130.577365,130.2594352,129.337543,127.3863253,125.0214093,122.3823548,119.9956717,119.7303447,120.2957977,121.3361769,125.2547355,130.5000018
ST ELISABETH,368107060,0,25,8,Tour,7/2/2024 10:40,187.9424065,27.16530612,117.8089003,96.16911038,100.7047443,98.49848958,102.7408977,106.315331,103.3631287,115.2952685,107.3513675,105.8935006,104.9962901,97.66352487,96.68373118,96.72186911,96.83831282,97.01413258,96.12143307,93.23657766,88.99680244,88.97786898,87.69946033,85.33278906,84.2289135,81.3740259,77.62523707,73.63331465,66.28513703,56.97381953
YOFI,368200830,NaN,10,4,Private,7/2/2024 13:48,538.5917003,7.81082131,110.9220606,95.48220711,105.3859553,95.65411408,98.40591742,95.51523988,93.61506772,101.4246541,93.92152063,93.02391888,92.22942198,94.26428418,96.3324011,96.7693007,97.08429907,97.28912925,96.89782975,96.40213214,95.15486976,94.48526973,96.38272067,95.55258956,92.03135068,88.68473879,88.50971938,84.71136407,81.928588,79.8719653
DREAM II,368089270,NaN,8,2,,7/3/2024 14:22,1425.082207,2.6,120.2946445,107.0102511,99.22203784,97.84359422,109.809034,102.663736,93.50465198,94.87397189,91.23511769,92.1211829,90.99400154,90.14205504,92.21376972,92.1979618,93.13308145,93.61650132,93.78678783,92.9992031,91.23261677,89.44265057,91.40416588,98.65853748,104.7065308,110.6405269,109.538428,106.8798572,114.7731917,114.3701507
ST JUVENALY,367117530,1,24,8,Tour,7/3/2024 10:01,188.2565351,22.84588235,116.9160385,95.45645032,112.1188228,99.70625065,102.4045138,108.7011649,101.2603941,111.6482528,100.5001571,99.10739154,97.72041009,99.12981557,98.36919753,97.75238509,99.16883461,96.5059806,93.62286837,90.92171079,89.83660735,88.08691934,84.69174595,81.36360285,78.40283276,75.82095606,76.20487024,71.73656186,66.90440144,65.30402646
ST JUVENALY,367117530,1,24,8,Tour,7/5/2024 9:18,482.2233855,23.2536,120.1842331,103.8928386,116.4366591,102.906691,104.9013065,109.108542,102.9412333,112.0775589,105.4574067,104.961702,102.8938707,101.4912802,100.5435048,101.0147206,102.4121723,103.3245356,103.9219557,103.9115109,103.1653114,101.2886873,98.97823765,97.04819902,94.12090071,92.01931304,89.8786429,87.46727389,85.705407,83.85835362
WILDERNESS LEGACY,367578110,3,64,12,Tour,7/5/2024 15:25,1924.713702,11.185569,136.6469233,112.8662817,111.4355121,109.8822683,110.9761923,112.9434127,116.4329605,117.7859257,114.0037841,114.8669727,116.5659457,118.2672558,120.0997028,122.191619,124.2279177,125.659721,126.1569969,126.1943574,125.4471062,123.6481961,122.2251977,120.9831,119.4561362,118.824676,118.9545106,120.3789564,124.2151799,130.2220452
ST PHILLIP,367181870,2.4,24,8,Tour,7/6/2024 11:30,212.779473,24.62449568,118.5810789,99.48002139,101.7165688,99.82313673,105.2821574,105.6779043,103.0259766,114.422264,108.3232007,107.82837,109.9547561,101.3700774,101.163965,100.4474435,100.0780222,99.14047714,96.96755672,95.60891275,102.1468457,93.65964404,94.09616346,93.61180342,95.46474534,88.13939975,79.82700412,75.18125717,70.55174843,58.57182726
GRAND PRINCESS,310327000,8.7,290,36,Cruise,7/8/2024 7:46,1952.700245,16.8,126.807827,108.8690608,117.87093,113.6713587,109.0948829,110.9282009,106.795851,111.6395173,112.3360593,119.7889308,107.2805563,107.8067019,107.6236067,108.1484916,109.3387926,110.0249496,109.5945714,109.7292183,110.4931715,109.7762826,108.2587536,105.2495476,104.9182253,104.4591534,104.7290514,106.3798944,112.4438595,120.5169917
